Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
NEN.A,,,-5,,,,0.0
NJR.N,Home Services and Other,"811412, 238220, 237210",-5,,,,5.0
NJR.N,Energy Services,"541611, 221210",-5,,,,5.0
NJR.N,Eliminations,,-5,,,,5.0
NJR.N,Clean Energy Ventures,237130,-5,,,,5.0
NJR.N,Natural Gas Distribution,221210,-5,,,,5.0
AGR.N,Other,,-5,,,,3.0
AGR.N,Networks,"221210, 221122",-5,,,,3.0
AGR.N,Renewables,"221118, 221112",-5,,,,3.0
NSC.N,,,-5,,,,0.0
ES.N,Natural Gas Distribution,221210,-5,,,,5.0
ES.N,Electric Distribution,221122,-5,,,,5.0
ES.N,Other,,-5,,,,5.0
ES.N,Eliminations,,-5,,,,5.0
ES.N,Electric Transmission,221121,-5,,,,5.0
NTRS.OQ,Corporate and Institutional Services,"523940, 523150, 523991, 522110",-5,,,,4.0
NTRS.OQ,Wealth Management,"523940, 523150, 523991, 522110",-5,,,,4.0
NTRS.OQ,Treasury and Other,,-5,,,,4.0
NTRS.OQ,Unallocated,,-5,,,,4.0
NWN.N,Other(NW Holdings),,-5,,,,2.0
NWN.N,Utility,221210,-5,,,,2.0
NWE.OQ,Gas Utility,"211120, 486210, 221210",-5,,,,4.0
NWE.OQ,Eliminations,,-5,,,,4.0
NWE.OQ,All Other,,-5,,,,4.0
NWE.OQ,Electric Utility,"221118, 221122, 221121, 221112",-5,,,,4.0
NUE.N,Raw Materials,"331110, 331492",-5,,,,3.0
NUE.N,Steel Mills,331110,-5,,,,3.0
NUE.N,Steel Products,"332322, 332312, 331222, 331210",-5,,,,3.0
MX.TO,,,-5,,,,0.0
OLN.N,Chlor Alkali Products and Vinyls,"325180, 325199, 325120",-5,,,,3.0
OLN.N,Winchester,"332993, 332992",-5,,,,3.0
OLN.N,Epoxy,"325211, 325199",-5,,,,3.0
PPG.N,Performance Coatings,"561910, 325998, 325510",-5,,,,2.0
PPG.N,Industrial Coatings,"325520, 325510",-5,,,,2.0
PCG.N,,,-5,,,,0.0
PAAS.TO,,,-5,,,,0.0
PKI.TO,Canada Retail,"457210, 424720",-5,,,,5.0
PKI.TO,Canada Commercial,445131,-5,,,,5.0
PKI.TO,Corporate,,-5,,,,5.0
PKI.TO,Supply,424720,-5,,,,5.0
PKI.TO,USA,"457110, 424720",-5,,,,5.0
WTRG.N,Other,,-5,,,,2.0
WTRG.N,Regulated Water,221310,-5,,,,2.0
PPC.OQ,Other Products,"424910, 424440, 311615",-5,,,,2.0
PPC.OQ,Chicken,"424440, 311615",-5,,,,2.0
TROW.OQ,,,-5,,,,0.0
PNM.N,Corporate & Other,,-5,,,,3.0
PNM.N,PNM Electric,"221118, 221114, 221113, 221112",-5,,,,3.0
PNM.N,TNMP Electric,"486210, 221210, 221122, 221121",-5,,,,3.0
KWR.N,Operating Segment- EMEA,"332811, 324191",-5,,,,4.0
KWR.N,Operating Segment- Asia Pacific,"332811, 324191",-5,,,,4.0
KWR.N,Operating Segment- South America,"332811, 324191",-5,,,,4.0
KWR.N,Operating Segment- North America,"332811, 325998",-5,,,,4.0
RPM.N,Consumer Segment,"325998, 325991, 325520, 325510",-5,,,,3.0
RPM.N,Industrial Segment,"325180, 325520, 325510, 324122",-5,,,,3.0
RPM.N,Specialty Segment,"325998, 325991, 325510, 324122",-5,,,,3.0
RRX.N,Eliminations,,-5,,,,5.0
RRX.N,Power Transmission Solutions,335312,-5,,,,5.0
RRX.N,Climate Solutions,335312,-5,,,,5.0
RRX.N,Industrial Systems,335312,-5,,,,5.0
RRX.N,Commercial Systems,335312,-5,,,,5.0
ROL.N,,,-5,,,,0.0
R.N,Eliminations,,-5,,,,4.0
R.N,Fleet Management Solutions,"532120, 484121",-5,,,,4.0
R.N,Supply Chain Solutions,"493110, 488999, 484121",-5,,,,4.0
R.N,Dedicated Transportation Solutions,"811198, 541614, 532120, 488999",-5,,,,4.0
EIX.N,,,-5,,,,0.0
SEIC.OQ,Institutional Investors,"523940, 518210",-5,,,,5.0
SEIC.OQ,Investment Advisors,"523940, 518210",-5,,,,5.0
SEIC.OQ,Investment Managers,"523940, 525910, 518210",-5,,,,5.0
SEIC.OQ,Private Banks,"523940, 518210",-5,,,,5.0
SEIC.OQ,Investments in New Business,"523940, 518210",-5,,,,5.0
SJW.N,Real Estate Services,"531312, 531120",-5,,,,3.0
SJW.N,Water Utility Services,221310,-5,,,,3.0
SJW.N,All Other,,-5,,,,3.0
ATRL.TO,Mining and Metallurgy,"212390, 213114",-5,,,,6.0
ATRL.TO,Clean Power,"237130, 236220, 236210",-5,,,,6.0
ATRL.TO,Oil & Gas(Previously Hydrocarbons & Chemicals),"211120, 213112",-5,,,,6.0
ATRL.TO,Capital,523940,-5,,,,6.0
ATRL.TO,Infrastrcture Services,541990,-5,,,,6.0
ATRL.TO,Atkins,"541611, 541330, 541320, 541310",-5,,,,6.0
FSZ.TO,,,-5,,,,0.0
SVT.A,,,-5,,,,0.0
SHW.N,Consumer Brands group,"424950, 325510",-5,,,,4.0
SHW.N,Administrative,,-5,,,,4.0
SHW.N,Performance coatings group,325510,-5,,,,4.0
SHW.N,The Americas group,424950,-5,,,,4.0
CPLE6.SA,DIS - Distribution,221111,-5,,,,7.0
CPLE6.SA,HOL - Holding,,-5,,,,7.0
CPLE6.SA,Eliminations,,-5,,,,7.0
CPLE6.SA,TEL - Telecommunications,"517810, 517111",-5,,,,7.0
CPLE6.SA,GAS,,-5,,,,7.0
CPLE6.SA,GET - Generation & Transmission,,-5,,,,7.0
CPLE6.SA,Commercialization,221122,-5,,,,7.0
AOS.N,North America,"333310, 332410",-5,,,,3.0
AOS.N,Inter-segment,,-5,,,,3.0
AOS.N,Rest of World,"333310, 334512, 332410",-5,,,,3.0
SJM.N,International and Away From Home,"722310, 424480, 311920",-5,,,,4.0
SJM.N,U.S. Retail Consumer Foods,"424420, 311911, 311421",-5,,,,4.0
SJM.N,U.S. Retail Coffee,311920,-5,,,,4.0
SJM.N,U.S. Retail Pet Foods,311111,-5,,,,4.0
SWX.N,Natural Gas Operations,221210,-5,,,,3.0
SWX.N,Construction Services,213112,-5,,,,3.0
SWX.N,other,,-5,,,,3.0
SYY.N,SYGMA,"424490, 424480, 424420, 311612",-5,,,,5.0
SYY.N,Other,424990,-5,,,,5.0
SYY.N,U.S. Foodservice Operations,"424480, 424420, 424410, 311612",-5,,,,5.0
SYY.N,Global Support Center,,-5,,,,5.0
